Name,AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y,Essentiality
YJR009C,9.94,0.6,7.23,4.52,3.31,7.53,2.41,6.02,7.83,6.33,2.41,4.22,3.31,1.81,3.31,7.53,6.93,10.84,0.9,3.01,0
YGR192C,9.64,0.6,7.23,4.52,3.01,7.83,2.41,5.72,7.83,6.33,2.11,3.92,3.61,1.51,3.31,7.83,7.23,11.14,0.9,3.31,0
YJL052W,10.54,0.6,7.53,3.61,2.71,7.83,2.41,6.93,8.43,6.02,2.11,3.01,3.92,2.11,3.31,6.93,6.93,10.54,0.9,3.61,0
Q0250,5.98,1.59,5.58,6.37,4.78,4.78,1.99,10.36,3.19,11.55,3.19,3.19,5.18,3.59,1.99,5.18,6.37,7.57,1.99,5.58,0
YKR066C,9.14,0.28,6.93,5.54,5.54,8.31,2.22,2.49,7.2,8.59,1.66,6.37,4.99,3.05,3.88,7.2,5.54,4.16,2.49,4.43,0
YBR160W,5.7,1.34,7.72,5.37,4.03,7.05,2.35,7.72,7.38,12.08,1.68,2.68,5.7,3.36,6.71,5.03,2.35,6.04,1.34,4.36,1
YAL038W,8.6,1.4,6.4,5.6,3,6.8,1.4,7.4,7.4,7,2.2,5.2,5,2,4.8,5.4,7.6,9.6,0.2,3,1
YCR012W,10.34,0.24,6.25,6.97,4.57,8.89,1.92,5.53,10.1,9.86,0.96,3.37,4.09,1.92,3.12,6.25,4.33,9.13,0.48,1.68,1
YBR093C,6.64,2.14,8.78,4.71,5.78,6,1.93,4.5,4.93,7.49,1.5,6.64,2.78,3.43,3,7.92,7.92,5.78,1.5,6.64,0
YIL162W,6.39,0.38,6.02,5.64,7.33,5.83,0.75,3.57,4.89,7.33,2.07,8.27,4.89,3.57,2.44,9.02,7.33,5.45,3.01,5.83,0
YMR297W,5.83,2.26,8.08,6.02,5.26,7.14,2.07,4.51,5.45,10.15,1.32,6.39,5.26,3.2,2.07,6.77,4.51,6.58,2.26,4.89,0
YPL111W,7.81,1.8,6.31,6.01,1.8,10.51,3,6.31,6.61,10.51,3,3.9,5.41,1.2,2.4,6.61,4.8,7.81,0.9,3.3,0
YCL030C,8.14,1.38,5.63,8.39,3.38,6.51,1.63,5.51,7.88,10.26,1.75,4.26,4.38,4.51,3,7.13,4.13,9.01,0.38,2.75,0
YBR011C,7.67,0.35,8.36,6.62,3.83,5.57,2.09,9.41,10.1,5.92,1.05,5.57,6.97,2.44,2.09,4.53,6.62,4.88,2.09,3.83,1
YJR121W,10.57,0.2,4.89,7.44,3.52,9,1.37,6.65,5.68,9.39,1.57,2.15,4.89,3.91,4.89,5.48,7.24,8.81,0.2,2.15,0
YNR001C,8.56,0.21,3.97,8.14,3.76,7.31,2.71,5.22,8.14,11.9,1.04,2.71,4.8,3.13,4.38,7.52,5.43,5.64,1.25,4.18,0
YGR254W,12.59,0.23,7.09,5.72,3.66,8.47,2.52,5.26,8.47,9.15,1.37,4.35,3.43,2.06,3.2,7.09,4.58,7.55,1.14,2.06,0
YHR174W,13.27,0.23,6.86,6.41,3.43,8.01,2.29,4.58,8.01,8.7,2.29,4.81,2.97,2.06,3.2,6.86,4.58,8.01,1.14,2.29,0
YER086W,7.12,0.87,4.69,5.9,3.99,7.12,3.12,5.9,5.9,9.55,1.74,4.51,4.69,3.99,5.56,6.94,5.21,9.55,0.17,3.47,0
YKL211C,6.61,1.86,4.75,6.82,3.51,6.61,3.1,6.82,7.02,9.71,1.65,4.75,4.96,2.89,3.72,8.06,4.75,8.47,0.62,3.31,0
YDR050C,10.08,0.81,6.05,6.85,4.44,8.87,1.21,6.05,8.47,7.66,0.4,4.84,2.82,2.82,3.23,6.45,4.84,10.48,1.21,2.42,1
YKL152C,9.72,0,6.48,6.88,2.43,6.07,1.62,4.45,9.72,11.34,0.81,4.45,6.48,3.24,4.86,6.07,3.24,6.48,2.02,3.64,1
YGR264C,6.26,1.33,5.99,6.79,4.26,4.93,2.93,5.46,8.26,9.99,1.33,7.19,4.53,3.6,3.2,7.19,4.26,6.13,1.73,4.66,1
YOR101W,5.18,0.97,6.8,6.8,1.94,7.44,0.32,5.18,6.15,6.47,1.29,10.36,1.29,5.5,5.83,11.33,5.18,6.8,0,5.18,0
YNL098C,8.07,0.62,5.28,5.59,1.24,8.7,0.62,4.35,6.83,5.59,2.17,9.94,1.86,6.83,4.04,9.94,7.14,7.45,0,3.73,0
YFL038C,3.88,1.94,8.25,5.83,3.88,7.28,0.49,5.34,8.74,9.71,2.43,5.83,0.49,4.37,3.4,7.28,8.74,6.8,0.97,4.37,1
YDR224C,13.74,0,2.29,6.11,1.53,3.05,1.53,6.11,15.27,4.58,1.53,2.29,3.82,3.05,4.58,13.74,9.16,3.82,0,3.82,1
YBL002W,12.98,0,2.29,6.11,1.53,3.05,1.53,6.11,14.5,4.58,1.53,2.29,3.82,3.05,4.58,14.5,8.4,5.34,0,3.82,0
YBR009C,5.83,0,2.91,3.88,1.94,15.53,1.94,6.8,10.68,8.74,0.97,0.97,0.97,1.94,13.59,5.83,5.83,7.77,0,3.88,1
YDR382W,20.91,0,6.36,14.55,2.73,12.73,0,3.64,6.36,8.18,1.82,1.82,1.82,1.82,0.91,7.27,1.82,5.45,0,1.82,0
YGL103W,8.05,0,3.36,3.36,3.36,12.08,6.71,6.04,12.08,6.04,2.68,2.01,5.37,2.68,8.05,3.36,3.36,6.71,1.34,3.36,1
YFL037W,6.78,1.31,6.35,7.88,5.47,7.44,2.41,4.6,3.28,7,3.28,5.91,3.94,5.03,4.16,8.1,5.69,7.22,1.09,3.06,1
YPL240C,6.06,0,6.63,13.4,4.65,3.39,0.56,6.91,10.86,9.31,1.83,3.67,3.81,3.1,3.81,6.91,5.64,5.92,0.71,2.82,0
YOR187W,8.24,0.69,5.49,7.55,2.97,8.92,3.2,7.09,5.03,8.47,4.12,2.97,4.35,2.75,6.64,4.35,7.78,7.32,0,2.06,0
YBR118W,8.08,1.53,5.24,6.77,3.71,9.17,2.4,6.55,10.7,5.24,1.75,3.49,5.02,2.62,3.93,4.59,6.11,10.04,1.31,1.75,0
YEL009C,6.76,0,7.83,8.54,3.91,2.14,1.42,3.2,8.19,9.61,1.78,4.63,7.12,2.85,4.63,11.03,7.12,7.47,0.36,1.42,0
YEL021W,9.36,1.5,7.12,6.37,3,10.11,1.5,5.24,8.24,9.74,2.25,2.25,2.62,3,5.24,4.49,6.37,7.12,1.12,3.37,0
YJR109C,8.14,0.98,5.81,7.33,4.03,5.9,1.43,7.51,6.71,9.12,1.7,5.1,4.2,2.95,3.67,7.42,5.55,7.78,0.72,3.94,0
YDL140C,5.65,1.21,5.89,6.75,3.35,6.64,2.02,5.6,5.37,8.25,2.54,4.1,7.16,3.81,4.79,9.41,6.64,6.75,0.75,3.35,1
YOR116C,6.71,1.64,6.1,5.96,3.42,7.19,2.05,6.51,7.05,9.66,2.53,5.41,4.59,3.22,5.75,6.85,4.59,7.33,0.68,2.74,1
YER165W,9.36,0.52,5.03,8.49,4.68,7.28,1.56,4.33,8.15,6.59,2.77,5.89,5.03,7.11,3.81,6.24,3.81,5.2,0.17,3.99,1
YBR020W,8.9,2.65,4.55,6.44,4.92,6.06,2.08,4.55,7.2,9.09,1.89,5.49,4.92,2.27,3.03,8.52,4.55,8.52,0.57,3.79,0
YPL248C,4.88,2.04,5.11,4.54,4.31,3.29,1.93,6.36,5.33,10.78,2.16,7.04,5.22,5.22,4.09,11.35,7.49,4.43,1.36,3.06,0
YML051W,6.9,0.46,3.91,4.83,4.6,7.36,2.3,8.74,5.52,9.2,2.3,6.21,4.83,4.14,3.45,8.51,5.29,5.75,0.69,5.06,0
YOL127W,13.38,0,4.23,3.52,1.41,3.52,0.7,4.93,15.49,7.75,2.11,4.93,4.23,2.11,4.93,4.23,7.04,9.86,0,5.63,1
YMR056C,8.74,0.97,4.85,2.59,6.47,11,0.97,4.21,6.8,11.97,2.91,2.27,1.62,4.21,5.83,7.12,6.15,5.5,0.97,4.85,0
YOL006C,5.07,0.91,6.63,10.92,4.42,3.25,1.56,5.33,14.04,7.8,0.91,4.29,4.81,5.07,5.07,5.85,4.16,5.59,1.43,2.86,0
YLL018C,7.72,0.54,5.92,10.23,5.03,5.75,2.15,5.03,8.62,10.05,1.97,2.87,4.67,4.13,6.46,5.03,4.49,5.92,0.18,3.23,1
YFR053C,6.6,0.82,7.42,7.22,3.51,8.66,1.86,6.8,8.04,9.9,2.68,3.71,5.15,3.09,3.71,4.95,5.98,5.77,0.82,3.3,0
YGL253W,7,0.82,7,6.58,4.94,8.44,1.03,8.23,7.2,7.2,2.67,3.91,5.97,4.53,3.91,5.14,6.17,5.14,0.82,3.29,0
YEL063C,8.47,0.85,3.22,4.75,8.47,8.31,1.36,9.66,4.92,7.8,2.2,3.39,4.24,2.03,3.73,6.95,6.44,6.95,2.71,3.56,0
YDL164C,4.9,2.12,6.09,7.28,3.84,5.96,1.32,5.56,8.61,10.99,2.91,4.37,4.64,3.44,4.9,8.61,6.09,4.9,0.4,3.05,1
YLR310C,4.66,0.76,5.85,5.92,4.66,3.15,2.08,6.42,7.24,9,1.95,8.56,4.09,2.83,4.15,13.4,6.73,4.72,0.76,3.08,1
YNL055C,9.54,0.71,5.3,2.83,6.01,7.42,1.06,3.53,6.71,10.95,1.41,7.07,4.59,3.89,1.77,8.48,8.83,6.36,0.71,2.83,0
YDR225W,14.39,0,2.27,3.79,0.76,10.61,2.27,5.3,8.33,12.88,0.76,6.06,3.79,4.55,7.58,6.06,3.79,4.55,0,2.27,0
YBL003C,14.39,0,2.27,3.79,0.76,10.61,2.27,5.3,8.33,12.88,0.76,6.06,3.79,4.55,7.58,6.06,3.79,4.55,0,2.27,1
YGL008C,9.8,0.98,6.43,5.88,4.14,8.28,1.53,6.97,5.23,9.37,2.61,2.83,3.92,2.94,3.59,6.43,6.21,8.82,1.63,2.4,1
YJL088W,7.4,2.07,6.51,6.21,7.1,4.14,2.66,8.28,7.69,7.69,2.66,6.8,2.37,3.25,3.25,8.58,5.62,6.21,0.3,1.18,0
YLR340W,11.54,0,5.45,8.65,4.81,7.05,1.28,5.77,4.81,8.01,1.92,4.49,4.81,1.92,4.17,7.05,4.49,10.58,0.32,2.88,1
YDL081C,18.87,0,7.55,14.15,3.77,9.43,0,4.72,4.72,10.38,1.89,4.72,1.89,0.94,0,7.55,2.83,4.72,0.94,0.94,0
YOL039W,20.75,0,7.55,15.09,1.89,9.43,0,4.72,6.6,9.43,1.89,2.83,2.83,0,0,7.55,2.83,4.72,0,1.89,0
YGL040C,9.94,2.63,7.02,5.56,4.09,7.6,2.63,7.6,4.39,9.94,1.75,3.8,5.85,1.75,6.14,5.56,3.8,5.26,0.58,4.09,1
YGR157W,3.11,0.92,4.37,4.83,6.9,5.29,2.07,7.94,6.1,10.82,1.96,6.56,2.65,3.11,3.8,7.71,6.67,6.9,2.53,5.75,0
YJR073C,6.8,1.94,2.43,4.37,5.34,8.25,1.46,6.8,6.31,10.19,5.83,3.88,2.91,3.88,3.4,6.8,5.34,7.28,1.46,5.34,0
YDR172W,6.28,0.73,4.38,8.32,2.34,8.76,1.9,4.67,9.64,5.11,2.77,6.57,4.38,7.74,2.63,5.11,5.69,7.3,0.58,5.11,1
YPL078C,9.43,0.41,3.69,7.38,2.87,4.1,0.82,5.33,8.61,11.07,2.46,4.1,2.46,5.33,4.51,10.66,4.51,9.43,0.41,2.46,0
YGL076C,9.84,0,1.64,6.56,4.1,6.15,1.64,8.61,11.89,8.2,0.82,5.74,4.51,4.92,6.15,4.92,3.69,5.74,0.82,4.1,0
YLR448W,7.95,0,2.84,7.39,3.98,3.98,1.14,2.27,14.77,11.36,0.57,3.98,5.68,3.98,5.68,3.98,6.25,10.8,0.57,2.84,0
YKL180W,15.22,0,1.09,5.98,2.72,5.43,2.17,4.35,9.24,5.43,0.54,4.35,2.72,6.52,10.33,7.07,5.98,6.52,1.09,3.26,1
YPL143W,7.48,0,0.93,2.8,3.74,7.48,2.8,5.61,8.41,5.61,1.87,6.54,3.74,2.8,10.28,8.41,4.67,10.28,0.93,5.61,1
YLR029C,7.35,0.49,2.94,3.92,1.96,6.37,2.45,2.94,10.78,6.37,0.49,5.88,3.43,4.9,16.18,2.94,4.9,7.35,2.45,5.88,1
YBR189W,10.26,0,5.13,8.72,3.59,5.13,2.05,4.62,8.72,10.26,1.03,2.05,4.62,2.56,12.31,6.15,3.59,6.15,0,3.08,0
YDR064W,9.93,0,2.65,4.64,1.32,5.3,2.65,8.61,8.61,9.27,1.99,3.97,4.64,1.99,9.27,9.27,3.31,6.62,1.32,4.64,1
YLR167W,3.95,2.63,5.26,4.61,1.97,7.24,3.29,5.26,16.45,9.21,0.66,3.29,2.63,3.95,5.26,5.26,7.24,7.89,0,3.95,1
YKL166C,3.77,1.01,5.78,7.29,5.03,5.78,2.76,6.28,7.04,8.79,2.76,6.03,5.78,3.77,4.27,6.03,5.78,5.53,1.26,5.28,1
YDL165W,3.66,1.05,6.28,6.81,7.33,3.66,2.09,3.14,5.24,12.04,3.14,2.62,6.28,5.24,5.76,8.38,6.81,4.71,2.09,3.66,1
YIL038C,7.54,0.48,5.98,9.57,2.87,2.39,1.56,4.78,8.61,7.78,1.32,5.74,4.9,5.74,4.67,10.89,6.34,5.26,0.84,2.75,0
YOR361C,5.37,0.79,6.42,8.13,6.16,3.8,1.97,5.24,7.73,6.82,2.36,5.9,4.98,2.88,4.98,7.34,5.9,7.99,2.23,3.01,1
YJL080C,7.36,0.33,5.4,9.82,2.86,5.07,1.55,8.1,9.82,6.87,1.23,5.97,4.58,2.29,3.6,9.08,5.81,7.69,0.33,2.21,0
YLR303W,8.78,0.23,4.73,6.08,5.86,9.46,3.6,5.41,6.08,7.88,0.45,4.95,4.95,4.05,2.7,6.53,5.41,7.43,0.9,4.5,0
YLR355C,8.35,0.76,5.06,6.58,4.05,8.61,1.27,4.56,7.09,8.61,2.03,4.56,4.05,3.04,6.58,5.57,6.58,6.08,1.77,4.81,1
YLR044C,9.59,0.71,5.15,5.33,4.09,7.46,2.13,6.57,6.22,9.59,2.31,5.15,4.62,3.91,2.66,5.33,7.82,7.1,1.24,3.02,0
YPR113W,8.64,2.27,3.64,2.73,5.91,5,2.73,3.64,5.45,11.36,3.64,5,2.27,3.18,3.18,8.64,8.18,6.82,1.82,5.91,1
YNL104C,9.05,1.45,5.98,7.11,3.72,6.14,1.94,5.65,5.98,6.62,1.45,5.49,4.36,3.55,5.33,8.89,4.85,8.08,1.13,3.23,0
YJL164C,3.53,0.5,6.05,9.07,5.04,6.8,2.02,6.05,7.05,8.06,2.02,4.28,4.79,5.79,5.04,5.79,6.3,5.04,1.26,5.54,1
YPL203W,4.21,0.26,5.79,5.53,4.47,6.05,3.42,6.05,5.79,9.47,2.37,2.89,5.53,8.68,5,3.95,6.32,7.11,1.58,5.53,1
YCR031C,12.41,0.73,5.84,2.92,2.19,10.95,1.46,4.38,6.57,4.38,2.19,2.19,3.65,2.92,10.95,6.57,8.03,10.22,0,1.46,0
YOR204W,7.45,0.66,5.96,4.8,4.8,11.42,1.32,4.47,3.81,7.28,1.82,7.62,4.97,3.15,7.12,9.27,4.97,5.3,1.16,2.65,1
YDL042C,5.16,1.96,6.05,4.63,3.91,4.8,3.02,7.3,8.72,9.43,2.31,6.23,6.23,3.02,3.38,7.47,5.34,6.58,0.53,3.91,0
YLR442C,4.09,0.72,5.73,9.1,3.78,4.19,1.33,8.9,9.71,8.28,2.25,6.65,3.89,3.58,4.19,9.41,4.81,6.03,0.92,2.45,0
YPR160W,6.21,0.55,6.76,7.32,4.77,5.32,2.11,6.76,6.98,9.2,2,5.88,4.55,3.88,4.43,5.88,4.99,6.54,1.88,3.99,0
YPL022W,4.18,0.91,7.09,8.73,3.64,3.45,2.18,6.82,7.73,11.45,1.64,6.91,3.64,4.09,4.82,8,4.91,6.09,1.09,2.64,0
YML032C,7.43,0.42,7.43,6.16,3.82,5.31,1.49,4.67,8.49,5.52,2.12,7.01,6.37,4.46,5.52,7.22,8.07,5.94,0.42,2.12,0
YJR052W,4.78,1.95,6.73,8.14,3.72,4.78,1.24,6.37,6.73,13.63,1.42,6.73,2.48,3.54,5.84,9.38,5.66,4.42,0.53,1.95,0
YPR165W,5.74,3.35,5.74,7.18,2.87,8.13,0.48,4.78,7.66,8.13,0.96,3.35,3.83,6.7,4.78,5.74,5.26,11,0.96,3.35,1
YNL090W,9.38,3.12,6.77,8.33,4.17,6.25,1.04,6.25,7.81,8.85,2.08,2.6,3.65,2.08,5.21,4.17,5.73,7.81,1.04,3.65,0
YDR477W,5.21,0.63,6.48,6.64,3.16,4.58,4.9,7.42,7.58,8.69,3,6.32,4.74,3.79,3.48,9.32,4.74,4.58,1.11,3.63,0
YOR074C,3.95,1.64,9.87,4.93,5.92,7.57,2.3,6.25,8.55,9.54,3.29,2.63,5.92,3.62,5.92,3.95,5.26,3.95,1.32,3.62,1
YNL088W,4.55,0.63,6.37,9.31,3.64,5.46,1.61,8.12,11.13,8.05,1.96,5.6,3.92,3.5,4.2,6.58,5.81,4.27,1.05,4.2,1
YBR109C,8.16,0,8.16,12.24,5.44,5.44,1.36,5.44,5.44,12.24,3.4,6.12,0.68,4.08,2.04,12.24,2.72,4.76,0,0,1
YML095C,4.29,0.48,5.71,5.24,4.29,3.33,0.95,5.71,6.19,10.48,1.9,10,3.33,5.24,6.19,8.1,8.57,4.29,0.95,4.76,0
YER171W,4.88,1.67,6.17,9.13,4.24,4.24,1.8,7.33,6.43,10.41,3.34,3.47,4.11,3.47,6.3,6.94,5.4,5.91,0.51,4.24,1
YDR392W,4.45,0.59,8.61,7.42,3.86,5.93,2.67,6.23,9.5,8.01,3.56,5.34,3.26,5.04,6.82,6.23,5.34,4.75,1.48,0.89,0
YOR065W,11.65,1.29,4.85,5.83,3.88,7.12,2.59,3.24,6.15,8.09,1.94,3.56,7.12,2.27,5.18,7.12,6.47,5.18,1.94,4.53,0
YKL182W,6.24,0.73,5.56,6.63,5.46,6.53,1.9,6.63,6.78,8.73,2.05,4.78,5.31,3.51,3.56,7.17,6.39,7.9,1.12,3.02,1
YDR226W,9.91,0.45,8.56,5.41,2.25,8.11,2.25,6.76,8.56,9.46,3.6,3.6,5.86,4.95,4.05,4.5,4.95,4.5,0.9,1.35,1
YNL121C,9.89,0.49,7.46,8.91,5.19,3.57,0.49,4.7,11.02,9.89,2.11,6.48,3.89,4.21,3.24,6,5.02,2.92,0.16,4.38,0
YGL234W,8.48,0.75,6.86,4.74,3.74,9.48,2.12,6.61,4.74,8.6,2.12,4.11,4.99,4.11,3.49,5.99,6.23,9.85,0.75,2.24,0
YGR204W,9.62,0.74,5.5,5.81,3.38,8.35,2.33,7.61,6.24,8.14,2.01,4.55,5.71,3.7,4.33,4.76,6.77,8.03,0.21,2.22,0
YMR083W,8.27,1.87,4.8,5.33,3.2,10.4,2.4,5.87,8.53,8.8,1.33,3.2,4.27,2.67,2.93,6.93,5.07,9.6,1.33,3.2,0
YDR216W,4.31,1.66,6.5,5.67,5.67,3.48,2.8,5.59,6.5,11.11,2.19,9.07,3.63,2.8,4.61,11.41,5.37,3.63,0.3,3.7,0
YBL099W,11.19,0.18,3.85,6.79,2.75,8.62,1.1,5.5,5.32,11.93,0.55,3.3,3.85,4.77,6.42,7.89,4.95,8.07,0.37,2.57,0
YDL067C,6.78,0,3.39,6.78,5.08,8.47,1.69,10.17,10.17,5.08,6.78,3.39,1.69,1.69,6.78,3.39,5.08,5.08,5.08,3.39,1
YBL045C,8.32,0.22,4.81,5.47,4.38,5.69,1.97,4.6,6.78,11.6,1.31,7.88,2.84,4.16,3.28,10.28,5.91,7.22,1.53,1.75,0
YOR303W,7.54,1.95,4.38,4.87,4.38,7.06,2.92,6.08,5.6,8.27,1.22,5.35,5.6,5.11,3.41,7.3,6.33,7.54,0.73,4.38,0
YJL130C,7.9,1.04,5.69,6.78,3.79,5.96,1.99,6.55,5.74,9.21,2.12,4.92,4.7,2.71,4.65,7.59,5.78,8.63,0.63,3.61,0
YOL139C,4.69,0,7.98,8.45,4.69,5.63,3.29,4.69,8.45,9.39,0.47,3.76,5.63,2.82,3.76,7.98,6.57,7.04,3.76,0.94,1
YPL075W,3.57,0.89,4.71,5.61,4.2,4.2,1.15,6.62,7.01,9.3,1.27,8.79,7.13,4.71,3.95,12.87,6.11,4.46,0.89,2.55,1
YPR033C,9.52,0.92,6.41,7.33,3.66,7.33,1.1,7.14,9.89,8.06,2.2,2.93,2.75,2.93,4.03,8.42,5.13,6.41,0.73,3.11,1
YGL009C,7.83,1.41,7.06,7.06,4.24,8.09,2.18,7.06,7.7,7.45,1.93,3.72,5.13,3.34,4.24,6.03,6.16,6.16,1.03,2.18,0
YPL154C,7.9,0.99,6.42,6.67,5.93,9.38,2.22,5.93,5.93,10.12,0.99,4.44,4.69,2.96,1.48,6.42,6.91,4.44,0.99,5.19,0
YFR034C,8.33,0.32,5.77,6.41,1.6,3.85,4.17,3.53,6.41,7.05,1.6,6.09,7.37,3.21,5.77,12.82,7.05,6.73,0.64,1.28,0
YML061C,5.59,0.7,6.17,7.8,4.31,4.66,1.98,6.17,9.78,9.43,2.91,5.24,5.01,4.66,5.82,9.08,3.26,5.24,0.93,1.28,0
YGL043W,8.41,2.27,6.15,7.12,1.94,2.91,3.24,4.85,12.62,6.47,1.29,7.12,3.56,4.85,3.56,7.12,5.83,7.12,0.65,2.91,0
YOR122C,9.52,0.79,6.35,3.97,1.59,11.11,2.38,7.94,3.97,7.14,1.59,3.17,3.17,7.94,3.97,4.76,5.56,8.73,1.59,4.76,1
YGR258C,4.75,0.39,8.05,9.7,4.66,4.95,0.97,5.53,9.41,8.05,2.42,6.4,3.98,4.36,4.95,8.34,4.95,4.95,0.97,2.23,0
YIL033C,6.01,0.48,6.49,6.49,5.77,4.81,1.92,2.88,7.93,9.86,1.44,5.77,5.29,6.49,5.29,8.65,5.29,5.77,0.48,2.88,0
YOL121C,9.03,0,5.56,6.25,2.08,10.42,1.39,6.94,7.64,5.56,2.08,3.47,4.17,5.56,8.33,6.94,1.39,8.33,0.69,4.17,0
YNL302C,9.72,0,5.56,6.25,2.08,10.42,1.39,6.94,7.64,5.56,2.08,3.47,3.47,5.56,8.33,6.94,1.39,8.33,0.69,4.17,0
YFL045C,4.33,1.18,6.3,9.84,7.87,7.87,1.57,5.51,7.48,9.84,1.18,4.33,3.15,2.76,5.12,5.91,5.51,5.91,0.79,3.54,1
YBR243C,6.47,2.23,4.02,2.9,6.92,7.14,2.23,9.15,4.69,14.51,3.35,4.02,5.58,1.12,3.57,5.36,3.79,6.92,1.79,4.24,1
YMR108W,9.46,0.44,4.66,5.68,3.93,7.86,2.33,5.39,6.55,7.57,3.06,4.37,6.4,4.66,4.37,6.11,6.26,7.86,1.02,2.04,1
YHR013C,5.88,0.84,8.4,9.24,1.68,3.36,2.94,6.3,5.04,11.76,4.2,6.72,3.36,4.2,5.46,4.62,5.46,5.04,0.42,5.04,0
YFL005W,5.12,1.4,6.51,5.58,4.65,9.3,0.47,8.84,8.84,7.44,1.86,7.44,0.93,2.79,3.26,8.84,6.98,6.98,0.93,1.86,1
YBR115C,6.54,1.01,6.97,5.39,4.38,6.47,1.87,5.82,6.18,10.2,1.51,5.75,5.32,3.02,4.38,6.82,6.18,7.26,1.29,3.66,0
YPR110C,7.16,1.49,7.46,7.16,5.67,4.48,1.49,7.16,6.87,6.87,1.19,6.57,5.97,2.39,5.37,6.57,5.07,7.76,0.6,2.69,1
YFL009W,6.03,1.03,6.16,4.24,3.34,6.03,3.08,6.93,5.91,9.37,1.41,7.57,3.59,1.93,3.98,11.04,7.06,6.55,1.41,3.34,1
YAL024C,3.83,0.63,6.34,6.9,3.34,1.95,2.09,7.04,7.39,9.48,1.88,8.15,4.18,3.9,4.67,13.31,6.13,5.3,0.84,2.65,0
YLR438W,10.14,1.89,4.48,5.9,4.01,7.78,4.72,7.08,6.37,10.38,1.42,3.07,5.19,3.07,2.83,6.84,4.72,6.6,0.94,2.59,0
YNL192W,4.42,1.41,5.13,5.92,5.84,5.13,1.95,6.9,5.04,8.4,2.56,8.13,3.98,3.71,4.6,9.02,5.75,5.39,1.24,5.48,0
YJL128C,6.14,0.9,4.34,5.09,2.54,7.04,2.69,5.69,6.59,8.53,1.95,6.89,6.14,4.79,4.49,11.83,6.29,5.39,0.3,2.4,0
YEL024W,8.37,2.33,6.51,3.72,3.72,8.37,2.33,6.05,6.98,7.91,3.72,3.26,5.58,2.33,4.19,8.37,5.12,7.44,1.4,2.33,0
YDR146C,3.1,1.27,5.36,6.77,3.1,5.22,1.83,4.8,8.04,8.32,1.97,8.89,6.21,4.8,5.5,11.71,6.06,3.95,0.28,2.82,0
YPL262W,9.02,1.64,3.07,6.35,4.51,7.58,3.07,6.15,7.17,9.22,2.25,6.35,4.3,5.33,3.07,6.97,5.74,6.35,0.41,1.43,0
YPR047W,2.77,1.28,6.82,7.25,4.05,4.05,2.99,7.46,8.53,9.17,2.77,5.76,4.26,2.56,5.97,6.82,5.97,6.18,2.13,3.2,0
